"Name","Amount","Casts","Avg Cast","Hits","Avg Hit","Crit %","DHit %","DPS","rDPS","aDPS",""
"Comet in Black","2209935$8.77%2.21m","21","105.2k","24","92.1k","25.0%","50.0%","2,678.6","2,486.3","2,678.6",""
"Thunder in Magenta","2115666$8.40%2.12m","21","100.7k","21","100.7k","28.6%","42.9%","2,564.3","2,349.2","2,564.3",""
"Polishing Hammer","2052104$8.14%2.05m","20","102.6k","23","89.2k","100.0%","100.0%","2,487.3","2,297.5","2,487.3",""
"Hammer Brush","1924384$7.64%1.92m","20","96.2k","23","83.7k","100.0%","100.0%","2,332.5","2,156.6","2,332.5",""
"Stone in Yellow","1893927$7.52%1.89m","21","90.2k","21","90.2k","14.3%","57.1%","2,295.5","2,148.1","2,295.5",""
"Blizzard in Cyan","1779193$7.06%1.78m","20","89.0k","20","89.0k","20.0%","50.0%","2,156.5","1,999.5","2,156.5",""
"Hammer Stamp","1764012$7.00%1.76m","20","88.2k","23","76.7k","100.0%","100.0%","2,138.1","1,990.5","2,138.1",""
"Rainbow Drip","1589009$6.31%1.59m","15","105.9k","16","99.3k","43.8%","37.5%","1,926.0","1,811.3","1,926.0",""
"Water in Blue","1377399$5.47%1.38m","25","55.1k","25","55.1k","28.0%","44.0%","1,669.5","1,650.5","1,669.5",""
"Aero in Green","1360046$5.40%1.36m","25","54.4k","25","54.4k","36.0%","32.0%","1,648.4","1,628.0","1,648.4",""
"Fire in Red","1291898$5.13%1.29m","26","49.7k","26","49.7k","30.8%","42.3%","1,565.8","1,552.9","1,565.8",""
"Star Prism","1206167$4.79%1.21m","9","134.0k","10","120.6k","30.0%","60.0%","1,461.9","1,272.0","1,461.9",""
"Retribution of the Madeen","855886$3.40%855.9k","7","122.3k","10","85.6k","20.0%","40.0%","1,037.4","972.6","1,037.4",""
"Mog of the Ages","801867$3.18%801.9k","8","100.2k","9","89.1k","22.2%","33.3%","971.9","880.4","971.9",""
"Winged Muse","730056$2.90%730.1k","8","91.3k","9","81.1k","44.4%","33.3%","884.9","798.8","884.9",""
"Clawed Muse","596898$2.37%596.9k","7","85.3k","8","74.6k","50.0%","25.0%","723.5","701.6","723.5",""
"Pom Muse","579664$2.30%579.7k","8","72.5k","9","64.4k","44.4%","11.1%","702.6","685.0","702.6",""
"Fanged Muse","535380$2.12%535.4k","7","76.5k","8","66.9k","12.5%","37.5%","648.9","625.8","648.9",""
"Holy in White","531229$2.11%531.2k","8","74.8k","14","42.8k","42.9%","28.6%","643.9","629.2","643.9",""
"attack","124$0.00%124.0","124","1.0","124","1.0","30.6%","44.4%","0.2","0.1","0.2",""
"Starry Muse","0$0.00%0.0","9","-","-","-","-","-","0.0","2,756.8","0.0",""
"Starry Muse","0$0.00%0.0","9","-","-","-","-","-","0.0","2,756.8","0.0",""
